prompt_index,query,method,constraints,num_results,runtime_sec,parse_error,top_names,top1_name,top1_price,top1_type
64,I want a women's down coat under 1300 dollars for winter travel.,baseline,"{""insulation"": ""down"", ""use_case"": ""travel"", ""gender"": ""men"", ""price_max"": 1300}",5,0.027,,Canada Goose Women's Alliston Coat | Canada Goose Women's Cypress Vest Black Label | Canada Goose Women's Cypress Vest | Canada Goose Women's Cypress Jacket | Canada Goose Men's Crofton Puffer,Canada Goose Women's Alliston Coat,1095.0,jacket
65,I want a men's windproof winter coat under 1600 dollars for daily use.,baseline,"{""use_case"": ""everyday"", ""gender"": ""men"", ""price_max"": 1600}",5,0.027,,Canada Goose Women's Montebello Parka Heritage | Canada Goose Men's Chilliwack Bomber Heritage | Canada Goose Women's Elmwood Parka | Canada Goose Women's Lorette Parka Black Label | Canada Goose Men's Chateau Parka Heritage,Canada Goose Women's Montebello Parka Heritage,1495.0,parka
66,I want a women's rainproof jacket under 900 dollars for commuting.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.025,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Davie Jacket | Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label,Canada Goose Women's Cypress Jacket,895.0,jacket
67,I want a men's warm parka under 1800 dollars for snowy environments.,baseline,"{""warmth_level"": ""medium"", ""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1800}",5,0.03,,Canada Goose Women's Shelburne Parka | Canada Goose Women's Shelburne Parka Black Label | Canada Goose Women's Shelburne Parka Heritage | Canada Goose Women's Lorette Parka Notched Brim | Canada Goose Men's MacMillan Parka Black Label,Canada Goose Women's Shelburne Parka,1475.0,parka
68,I want a women's everyday winter jacket under 1000 dollars for city life.,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.023,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Davie Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Men's Woolford Jacket | Canada Goose Women's Salida Jacket,Canada Goose Women's Cypress Jacket,895.0,jacket
69,I want a men's waterproof jacket under 800 dollars for biking in rain.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 800}",5,0.023,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Kenora Jacket | Canada Goose Women's Salida Jacket | Canada Goose Men's Hybridge Knit Vest,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
70,I want a women's insulated winter coat under 1400 dollars for cold weather.,baseline,"{""gender"": ""men"", ""price_max"": 1400}",5,0.025,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Women's Alliston Coat | Canada Goose Men's Garson Vest Black Label | Canada Goose Men's Lodge Hoody | Canada Goose Men's Freestyle Vest PBI,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
71,I want a men's down winter coat under 1500 dollars for extremely cold conditions.,baseline,"{""insulation"": ""down"", ""gender"": ""men"", ""price_max"": 1500}",5,0.027,,Canada Goose Men's Garson Vest Wool | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Women's Alliston Coat | Canada Goose Men's Garson Vest Black Label CR | Canada Goose Men's Carson Parka,Canada Goose Men's Garson Vest Wool,850.0,vest
72,I want a women's warm travel jacket under 1200 dollars for winter vacations.,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.027,,Canada Goose Women's Hybridge Lite Jacket | Canada Goose Women's Cypress Jacket | Canada Goose Men's Crofton Jacket | Canada Goose Men's Crofton Jacket Black Label | Canada Goose Women's Ellison Jacket,Canada Goose Women's Hybridge Lite Jacket,750.0,jacket
73,I want a men's winter jacket under 1000 dollars that is windproof.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.026,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Lodge Hoody | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
74,I want a women's snow parka under 1800 dollars for outdoor winter activities.,baseline,"{""length"": ""long"", ""use_case"": ""hiking"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1800}",5,0.032,,Canada Goose Men's Wyndham Parka Heritage | Canada Goose Women's Montebello Parka Heritage | Canada Goose Men's Carson Parka Heritage | Canada Goose Men's Chateau Parka Heritage | Canada Goose Men's Chateau Parka Black Label Heritage,Canada Goose Men's Wyndham Parka Heritage,1675.0,parka
75,I want a men's waterproof winter jacket under 1200 dollars for commuting.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.03,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Crofton Puffer,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
76,I want a women's warm coat under 1500 dollars for everyday winter wear.,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""everyday"", ""gender"": ""men"", ""price_max"": 1500}",5,0.043,,Canada Goose Women's Montebello Parka Heritage | Canada Goose Women's Lorette Parka Black Label | Canada Goose Women's Elmwood Parka | Canada Goose Women's Rossclair Parka Print | Canada Goose Men's Chilliwack Bomber Heritage,Canada Goose Women's Montebello Parka Heritage,1495.0,parka
77,I want a men's down jacket under 900 dollars for cold mornings.,baseline,"{""insulation"": ""down"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.029,,Canada Goose Men's Crofton Jacket | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Freestyle Vest PBI | Canada Goose Men's Hybridge Jacket | Canada Goose Men's Lodge Hoody,Canada Goose Men's Crofton Jacket,895.0,jacket
78,I want a women's winter jacket under 1100 dollars that is waterproof.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1100}",5,0.025,,Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Women's Cypress Jacket,Canada Goose Men's Nanaimo Jacket,575.0,jacket
79,I want a men's windproof parka under 1700 dollars for snowy weather.,baseline,"{""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1700}",5,0.025,,Canada Goose Men's MacMillan Parka Wool | Canada Goose Men's MacMillan Parka Black Label | Canada Goose Women's Chelsea Parka Heritage | Canada Goose Women's Lorette Parka Notched Brim | Canada Goose Women's Shelburne Parka Tonal Label,Canada Goose Men's MacMillan Parka Wool,1425.0,parka
80,I want a women's insulated coat under 1400 dollars for commuting to work.,baseline,"{""gender"": ""men"", ""price_max"": 1400}",5,0.024,,Canada Goose Women's Clair Coat - Updated | Canada Goose Women's Marlow Coat | Canada Goose Women's Davie Jacket | Canada Goose Women's Alliston Coat | Canada Goose Women's Freestyle Vest Black Label,Canada Goose Women's Clair Coat - Updated,1050.0,jacket
81,I want a men's rain jacket under 700 dollars for wet weather cycling.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 700}",5,0.02,,Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Kenora Jacket | Canada Goose Men's Hybridge Knit Vest | Canada Goose Men's Hybridge Knit Vest Black Label,Canada Goose Women's Salida Jacket,650.0,jacket
82,I want a women's warm winter coat under 1600 dollars for extreme cold.,baseline,"{""warmth_level"": ""high"", ""use_case"": ""extreme_cold"", ""gender"": ""men"", ""price_max"": 1600}",5,0.034,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Garson Vest Black Label CR | Canada Goose Men's Freestyle Crew Vest CR | Canada Goose Women's Montebello Parka Heritage | Canada Goose Women's Shelburne Parka Tonal Label,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
83,I want a men's winter coat under 1200 dollars that is durable.,baseline,"{""gender"": ""men"", ""price_max"": 1200}",5,0.023,,Canada Goose Women's Alliston Coat | Canada Goose Men's Garson Vest Black Label CR | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Freestyle Crew Vest CR | Canada Goose Women's Clair Coat - Updated,Canada Goose Women's Alliston Coat,1095.0,jacket
84,I want a women's down jacket under 1000 dollars for casual winter wear.,baseline,"{""insulation"": ""down"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.024,,Canada Goose Women's Cypress Jacket | Canada Goose Women's Salida Jacket | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Crofton Puffer | Canada Goose Women's Cypress Hooded Jacket,Canada Goose Women's Cypress Jacket,895.0,jacket
85,I want a men's waterproof winter coat under 1500 dollars for commuting.,baseline,"{""gender"": ""men"", ""price_max"": 1500}",5,0.023,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Nanaimo Jacket | Canada Goose Women's Clair Coat - Updated | Canada Goose Women's Marlow Coat | Canada Goose Men's Lodge Jacket - Updated,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
86,I want a women's snow jacket under 1800 dollars for winter sports.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1800}",5,0.026,,Canada Goose Women's Cypress Hoody | Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Crofton Puffer | Canada Goose Women's Cypress Jacket,Canada Goose Women's Cypress Hoody,950.0,jacket
87,I want a men's insulated parka under 2000 dollars for very cold temperatures.,baseline,"{""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 2000}",5,0.026,,Canada Goose Women's Lorette Parka Notched Brim | Canada Goose Men's Wyndham Parka Black Label - Updated | Canada Goose Men's Wyndham Parka - Updated | Canada Goose Men's Carson Parka | Canada Goose Women's Lorette Parka Black Label,Canada Goose Women's Lorette Parka Notched Brim,1195.0,parka
88,I want a women's rain jacket under 900 dollars for stormy weather.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 900}",5,0.026,,Canada Goose Men's Crofton Jacket | Canada Goose Women's Salida Jacket | Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Women's Kenora Jacket | Canada Goose Men's Crofton Jacket Black Label,Canada Goose Men's Crofton Jacket,895.0,jacket
89,I want a men's winter jacket under 1000 dollars for everyday wear.,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.029,,Canada Goose Women's Davie Jacket | Canada Goose Women's Cypress Jacket | Canada Goose Men's Lockeport Jacket | Canada Goose Men's Woolford Jacket | Canada Goose Women's Salida Jacket,Canada Goose Women's Davie Jacket,595.0,jacket
90,I want a women's warm parka under 1700 dollars for cold climates.,baseline,"{""warmth_level"": ""medium"", ""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1700}",5,0.025,,Canada Goose Women's Shelburne Parka | Canada Goose Women's Shelburne Parka Black Label | Canada Goose Women's Shelburne Parka Heritage | Canada Goose Women's Shelburne Parka Tonal Label | Canada Goose Men's Carson Parka,Canada Goose Women's Shelburne Parka,1475.0,parka
91,I want a men's waterproof jacket under 800 dollars for rainy days.,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 800}",5,0.025,,Canada Goose Men's Rupert Rain Jacket Black Label | Canada Goose Men's Nanaimo Jacket | Canada Goose Men's Hybridge Knit Vest Black Label | Canada Goose Men's Hybridge Knit Vest | Canada Goose Women's Minden Jacket,Canada Goose Men's Rupert Rain Jacket Black Label,750.0,jacket
92,I want a women's winter coat under 1300 dollars for travel.,baseline,"{""use_case"": ""travel"", ""gender"": ""men"", ""price_max"": 1300}",5,0.028,,Canada Goose Women's Alliston Coat | Canada Goose Women's Cypress Vest Black Label | Canada Goose Women's Cypress Vest | Canada Goose Men's Crofton Puffer | Canada Goose Women's Hybridge Lite Vest,Canada Goose Women's Alliston Coat,1095.0,jacket
93,I want a men's windproof winter coat under 1600 dollars for commuting.,baseline,"{""gender"": ""men"", ""price_max"": 1600}",5,0.03,,Canada Goose Men's Lodge Jacket - Updated | Canada Goose Men's Lodge Jacket Black Label | Canada Goose Men's Garson Vest Wool | Canada Goose Men's Lodge Hoody | Canada Goose Women's Clair Coat - Updated,Canada Goose Men's Lodge Jacket - Updated,825.0,jacket
94,I want a women's down parka under 1900 dollars for very cold winters.,baseline,"{""length"": ""long"", ""insulation"": ""down"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1900}",5,0.038,,Canada Goose Women's Lorette Parka Notched Brim | Canada Goose Women's Shelburne Parka Black Label - Updated | Canada Goose Women's Shelburne Parka Tonal Label | Canada Goose Women's Rossclair Parka Heritage | Canada Goose Men's Carson Parka,Canada Goose Women's Lorette Parka Notched Brim,1195.0,parka
