query,method,expected,actual_constraints,actual_top1_name,actual_top1_price,actual_top1_type,actual_top_results,num_results,runtime_sec,parse_error
women's travel jacket under $1000,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 1000.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": ""women"", ""expected_outerwear"": true}","{""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",Canada Goose Women's Cypress Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Cypress Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.0}]",5,3.9551,
packable jacket for travel,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": NaN, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""travel"", ""product_type"": ""jacket""}",Canada Goose Men's Crofton Jacket Black Label,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}]",5,0.028,
packable jacket for travel,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": NaN, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""product_type"": ""jacket"", ""use_case"": ""travel""}",Canada Goose Men's Crofton Jacket Black Label,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}]",5,0.833,
packable jacket for travel,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": NaN, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""travel"", ""product_type"": ""jacket""}",Canada Goose Men's Crofton Jacket Black Label,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Hoody"", ""price"": 950.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}]",5,0.8621,
light jacket for trips under $800,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 800.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 800}",Canada Goose Women's Hybridge Lite Jacket,750.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Kenora Jacket"", ""price"": 625.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}]",5,0.0325,
light jacket for trips under $800,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 800.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""product_type"": ""jacket"", ""use_case"": ""travel"", ""warmth_level"": ""low"", ""price_max"": 800}",Canada Goose Women's Hybridge Lite Jacket,750.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Kenora Jacket"", ""price"": 625.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}]",5,1.8885,
light jacket for trips under $800,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 800.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""price_max"": 800}",Canada Goose Women's Hybridge Lite Jacket,750.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Hybridge Lite Jacket"", ""price"": 750.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Kenora Jacket"", ""price"": 625.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.0}]",5,2.0823,
travel vest under $700,baseline,"{""expected_type"": ""vest"", ""expected_price_max"": 700.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""travel"", ""product_type"": ""vest"", ""price_max"": 700}",Canada Goose Men's Crofton Vest Black Label,650.0,vest,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Vest Black Label"", ""price"": 650.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Hybridge Lite Vest"", ""price"": 525.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Vest Black Label"", ""price"": 595.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Cypress Vest"", ""price"": 595.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Vest"", ""price"": 650.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}]",5,0.029,
travel vest under $700,flan,"{""expected_type"": ""vest"", ""expected_price_max"": 700.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""product_type"": ""vest"", ""use_case"": ""travel"", ""price_max"": 700}",Canada Goose Men's Crofton Vest Black Label,650.0,vest,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Vest Black Label"", ""price"": 650.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Hybridge Lite Vest"", ""price"": 525.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Vest Black Label"", ""price"": 595.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Cypress Vest"", ""price"": 595.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Vest"", ""price"": 650.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}]",5,1.0441,
travel vest under $700,hybrid,"{""expected_type"": ""vest"", ""expected_price_max"": 700.0, ""expected_use_case"": ""travel"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""travel"", ""product_type"": ""vest"", ""price_max"": 700}",Canada Goose Men's Crofton Vest Black Label,650.0,vest,"[{""rank"": 1, ""name"": ""Canada Goose Men's Crofton Vest Black Label"", ""price"": 650.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Hybridge Lite Vest"", ""price"": 525.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Cypress Vest Black Label"", ""price"": 595.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Cypress Vest"", ""price"": 595.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Vest"", ""price"": 650.0, ""product_type"": ""vest"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.0}]",5,0.9831,
not too warm jacket for daily use under 700,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 700.0, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 700}",Canada Goose Women's Salida Jacket,650.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Nanaimo Jacket"", ""price"": 575.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Davie Jacket"", ""price"": 595.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Lockeport Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Hybridge Knit Vest Black Label"", ""price"": 525.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}]",5,0.03,
not too warm jacket for daily use under 700,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 700.0, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""product_type"": ""jacket"", ""use_case"": ""everyday"", ""warmth_level"": ""low"", ""price_max"": 700}",Canada Goose Women's Salida Jacket,650.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Nanaimo Jacket"", ""price"": 575.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Davie Jacket"", ""price"": 595.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Lockeport Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Hybridge Knit Vest Black Label"", ""price"": 525.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}]",5,0.9538,
not too warm jacket for daily use under 700,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 700.0, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 700}",Canada Goose Women's Salida Jacket,650.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Nanaimo Jacket"", ""price"": 575.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Women's Davie Jacket"", ""price"": 595.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Lockeport Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Hybridge Knit Vest Black Label"", ""price"": 525.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 5.0}]",5,0.9779,
everyday jacket under $900,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 900.0, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 900}",Canada Goose Women's Cypress Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Davie Jacket"", ""price"": 595.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Lockeport Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Woolford Jacket"", ""price"": 850.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}]",5,0.027,
everyday jacket under $900,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 900.0, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""product_type"": ""jacket"", ""use_case"": ""everyday"", ""price_max"": 900}",Canada Goose Women's Cypress Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Davie Jacket"", ""price"": 595.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Lockeport Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Woolford Jacket"", ""price"": 850.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}]",5,0.9322,
everyday jacket under $900,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 900.0, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 900}",Canada Goose Women's Cypress Jacket,895.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Women's Cypress Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Davie Jacket"", ""price"": 595.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Lockeport Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Salida Jacket"", ""price"": 650.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Woolford Jacket"", ""price"": 850.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}]",5,0.898,
casual hoody for everyday use,baseline,"{""expected_type"": ""hoody"", ""expected_price_max"": NaN, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""everyday"", ""product_type"": ""hoody""}",Canada Goose Men's Hybridge Lite Tech Hoody,795.0,hoody,"[{""rank"": 1, ""name"": ""Canada Goose Men's Hybridge Lite Tech Hoody"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Armstrong Hoody"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Amherst Hoody"", ""price"": 375.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Huron Men's Hoody - Updated"", ""price"": 375.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Abbott Hoody"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}]",5,0.023,
casual hoody for everyday use,flan,"{""expected_type"": ""hoody"", ""expected_price_max"": NaN, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",Canada Goose Men's Hybridge Lite Tech Hoody,795.0,hoody,"[{""rank"": 1, ""name"": ""Canada Goose Men's Hybridge Lite Tech Hoody"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Amherst Hoody"", ""price"": 375.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Armstrong Hoody"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Abbott Hoody Black Label"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Abbott Hoody"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}]",5,3.4123,
casual hoody for everyday use,hybrid,"{""expected_type"": ""hoody"", ""expected_price_max"": NaN, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""use_case"": ""everyday"", ""product_type"": ""hoody"", ""warmth_level"": ""low""}",Canada Goose Men's Hybridge Lite Tech Hoody,795.0,hoody,"[{""rank"": 1, ""name"": ""Canada Goose Men's Hybridge Lite Tech Hoody"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Amherst Hoody"", ""price"": 375.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Armstrong Hoody"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 4, ""name"": ""Canada Goose Women's Abbott Hoody Black Label"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 5, ""name"": ""Canada Goose Women's Abbott Hoody"", ""price"": 895.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}]",5,3.529,
lightweight hoody for casual everyday use,baseline,"{""expected_type"": ""hoody"", ""expected_price_max"": NaN, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",Canada Goose Men's Hybridge Lite Tech Hoody,795.0,hoody,"[{""rank"": 1, ""name"": ""Canada Goose Men's Hybridge Lite Tech Hoody"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Hybridge Lite Hoody CR"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Lodge Hoody Black Label - Updated"", ""price"": 875.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Amherst Hoody"", ""price"": 375.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Hybridge Huron Full Zip Hoody"", ""price"": 650.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}]",5,0.028,
lightweight hoody for casual everyday use,flan,"{""expected_type"": ""hoody"", ""expected_price_max"": NaN, ""expected_use_case"": ""everyday"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""low"", ""use_case"": ""everyday"", ""product_type"": ""hoody""}",Canada Goose Men's Hybridge Lite Tech Hoody,795.0,hoody,"[{""rank"": 1, ""name"": ""Canada Goose Men's Hybridge Lite Tech Hoody"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 2, ""name"": ""Canada Goose Women's Hybridge Lite Hoody CR"", ""price"": 795.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Lodge Hoody Black Label - Updated"", ""price"": 875.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Amherst Hoody"", ""price"": 375.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Hybridge Huron Full Zip Hoody"", ""price"": 650.0, ""product_type"": ""hoody"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.0}]",5,3.598,
